col,col,col,código_material,preço_real,descrição,qtde_min,bateria_recomendada,kit,tensão_carregador,tensão_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,col,col,col,col
,,,SA03-011-7317,1139,SEA 20.0 SET Aspirador portátil 127V,1,,"Bateria AS 2
Carregador AL 1 - 127V",127 V,,,,,,,,,,
,,,SA03-011-7318,1139,SEA 20.0 SET Aspirador portátil 220V,1,,"Bateria AS 2
Carregador AL 1 - 220V",220 v,,,,,,,,,,
SEA 60.0 L ,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Potência [W],Kit,Filtros,Volume pó no Filtro de papel [L],"Volume de
 líquido aspirado [L]",Bateria recomendada,Máximo Vácuo [mbar],"Peso 
[kg]",,,,,
,,,SA04-011-7305,1899,SEA 60.0 L Aspirador a bateria,1,450,Não acompanha bateria ou carregador,"Lavável
Filtro Papel
Filtro Espuma",12,9,AK 20,190,7.5,,,,,
SEA 100.0 L,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Potência [W],Kit,Filtros,Volume pó no Filtro de papel [L],"Volume de
 líquido aspirado [L]",Bateria recomendada,Máximo Vácuo [mbar],"Peso 
[kg]",,,,,
,,,SA04-011-7315,2299,SEA 100.0 L Aspirador a bateria,1,500,Não acompanha bateria ou carregador,"Lavável
Filtro Papel
Filtro Espuma",12,9,AP 200 S,210,6.5,,,,,
Acessórios SEA 20.0,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,,,,,,,,,Qtde. Min.,,,,,
,,,SA03-007-1000 ,120.47,Jogo Mini bicos,,,,,,,,,1,,,,,
SHA 56,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Sucção [m³/h],Volume do reservatório [L],Peso,,Autonomia da bateria [min],,,,,,
,,,SA02-011-7100,1649,SHA 56 Trituradora de aspiração a bateria,1,AK  20,Não acompanha bateria ou carregador,510,40,"3,2 (soprador) 4,2 (aspirador)",,25,,,,,,
BGA 30,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Vazão do ar [m³/h],Velocidade de ar [m/s],Autonomia da bateria (min),"Peso 
[kg]",,,,,
,,,BA08-011-5900,699,BGA 30.0 Soprador a bateria,1,AS 2,Não acompanha bateria ou carregador,-,10.8,430,43,8-25,1.5,,,,,
,,,BA08-011-5919,1099,"BGA 30.0 SET Soprador a bateria, 127V",1,,"2 Baterias AS 2
Carregador AL 1 - 127V",127V,,,,,,,,,,
,,,BA08-011-5920,1099,"BGA 30.0 SET Soprador a bateria, 220V",1,," 2 Baterias AS 2
Carregador AL 1 - 220V",220V,,,,,,,,,,
BGA 45,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Velocidade do ar [m/s],"Vazão de ar
[m³/h]",Autonomia da bateria [min],"Peso 
[kg]",,,,,
,,,4513-011-5907,649,BGA 45 Soprador a bateria,1,Integrada,Carregador,bivolt,18,38,400,10,2,,,,,
BGA 50,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Volume de ar [m³/h],Velocidade de ar [m/s],Autonomia da bateria (min),"Peso 
[kg]",,,,,
,,,BA05-011-5900,899,BGA 50.0 Soprador a bateria,1,AK 20,Não acompanha bateria ou carregador,-,36,770,46,20,2.2,,,,,
,,,BA05-011-5915,1899,"BGA 50.0 SET Soprador a bateria, 220V",1,,"Bateria AK 20
Carregador AL 101 - 220V",220V,,,,,,,,,,
,,,BA05-011-5916,1899,"BGA 50.0 SET Soprador a bateria, 127V",1,,"Bateria AK 20
Carregador AL 101 - 127V",110V,,,,,,,,,,
BGA 86,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),"Velocidade do ar
[m/s]","Vazão de ar
[m³/h]",Autonomia da bateria [min],"Peso 
[kg]",,,,,
