código_material,preço_real,descrição,modelos_compativeis
0000-951-1105,5.07,Parafuso IS P5x14,MSA160/200/HT131/BR600/SR430/450/BR430
0000-951-1109,5.07,Parafuso IS-M5x20-10.9,TS420
0000-951-1114,5.05,Parafuso M5x12,FS131/HT133
0000-951-2600,10.8,Parafuso cabeça lentilha M4,MS051/076/TS760
0000-951-2904,12.26,"Parafuso cabeça lentilha M6x3,2x12",MS051/076
0000-951-2909,7.2,Parafuso cabeça lentilha,MS08
0000-951-2911,15.84,Parafuso tensor M6,MS08/051/076
0000-951-4110,6.49,Parafuso escareado chato M6,MS08
0000-951-5815,5.77,"Pino roscado 1/4""",MS08/TS350
0000-951-6210,13.69,Pino roscado M12,USG CJ.AFIADOR
0000-951-6500,18.03,Parafuso sem cabeça,SUP.GIRAT.P/CORRENTE
0000-951-8200,3.89,Parafuso de cabeça redonda,FW20-TS420
0000-953-0808,6.49,Parafuso prisioneiro,BR600/SR430/450
0000-953-0810,14.4,Parafuso prisioneiro M5,MS660/ 661
0000-953-0811,13.69,Parafuso prisioneiro M5,MS651/661
0000-953-0818,5.07,Parafuso prisioneiro de aço M5,MS034/036/360
0000-953-1001,7.91,Parafuso prisioneiro M6,FS120/160/220/250/280/SP81
0000-953-1009,25.91,Parafuso prisioneiro de aço,MS076/TS760
0000-953-1024,9.36,Parafuso prisioneiro M6x30,P835/840/TS350
0000-953-1025,7.92,Parafuso prisioneiro M6x20,MS08
0000-953-1401,12.97,Parafuso prisioneiro,USG CJ.AFIADOR
0000-953-1402,16.56,Parafuso prisioneiro M8,HTImpl/75
0000-953-1600,18,Parafuso prisioneiro M10x145,USG CJ.AFIADOR
0000-953-1602,15.12,Parafuso prisioneiro,USG CJ.AFIADOR
0000-953-6605,11.91,Parafuso com colar M8,MS034/036/360/038/046/460/066/660/650
0000-953-6610,11.91,Parafuso prisioneiro,TS420
0000-954-1701,3.41,Anel de vedação,TS420/800/TSA230
0000-955-0801,5.77,Porca sextavada M8,MS011/210/230/250/034/036/360/038/039/65
0000-955-0802,3.48,Porca com colar M8x1,MS162/172/172C/182/212/MS210/025/230/250/034/036/360/362/039/046/310/390/460/066/194T/HS45/81R/BR430/600/800/HS82R/BG/SH56/BG50/MS462
0000-955-0903,7.49,Porca M10,MS08
0000-955-1101,4.06,Porca sextavada M8-8,PC70/75
0000-955-1102,2.86,Porca sextavada ISO 4032-M5-8,SP20
0000-955-8506,19.59,Porca serrilhada,USG CJ.AFIADOR
0000-958-0200,16.69,Arruela,RE108
0000-958-0206,6.34,Arruela,MS462
0000-958-0405,5.34,"Arruela 4,8x9,8x0,5",MS075/76
0000-958-0406,5.34,Arruela,MS038
0000-958-0408,5.34,Arruela,MS310/039/390
0000-958-0501,7.8,Arruela,BT45
0000-958-0503,5.34,"Arruela 5,2x12x1,2",MS051/076/FS86/88/108/160/220/280/FR106/
0000-958-0504,5.34,Arruela,MSE170/MSE141
0000-958-0506,8.87,Arruela 10x29x1,MSA160/E14/160/HTImpl
0000-958-0511,5.34,Arruela,TS800
0000-958-0512,5.28,"Arruela 5,1x20x0,5",MS038
0000-958-0514,5.34,Arruela,MS034/MS260
0000-958-0518,5.6,"Arruela 5,2x7x0,5",MS039/390/046/460/462
0000-958-0520,5.34,Arruela,HL135
0000-958-0521,5.34,"Arruela 5,1x10x2,7",MSA160/200/MS170/180/210/025/230/250
0000-958-0526,6.34,Arruela,HS45
0000-958-0527,6.38,"Arruela 5x16x1,6",HL135
0000-958-0600,5.34,Arruela,FR85/108/220/350
0000-958-0601,5.34,"Arruela  6,7x14x0,5",MS036/360
0000-958-0602,5.34,Arruela,PC70
0000-958-0607,5.34,"Arruela 6,7x18x0,5",Carcaca Do VentiladorMS380/046/460/066/660/650/462/651/661
0000-958-0608,6.38,Arruela 6x15x1,MS08/P835/840
0000-958-0609,5.34,"Arruela 6,1x16x1",FS160/220/280/FR220/HS81R
0000-958-0611,5.34,"Arruela 6,1x8,5x0,5",MS034/036/360/066/660/650/651/661
0000-958-0701,5.34,"Arruela 8,1x10,8x0,5",MS038
0000-958-0702,5.34,"Arruela 7,01x15,5x1",MS08
0000-958-0704,6.38,"Arruela 7,15x14x2",MS038
0000-958-0806,5.34,"Arruela 8,1x12,5x0,5",MS011/210/FS160/220/280/SP20
0000-958-0807,8.46,Arruela,TS420-FW20
0000-958-0923,5.34,"Arruela 9,65x13x0,5",BT121/MS210/025/230/250/034/036/360/039/
0000-958-1000,5.6,"Arruela 16x10x0,5",BT120/121/130/HS81R/FR350/FS120/250/300/350/460/KA120/HT133
0000-958-1001,9.52,"Arruela 10x26,8x1,5",MS08/TS350
0000-958-1010,5.34,"Arruela 10,1x17x0,2",MS08/051
0000-958-1022,7.42,Arruela Ø 27 mm,MS210/025/230/250/034/036/310/360/390/066
0000-958-1032,9.51,"Arruela Ø10x27x2,7",MS046/460/462/064/066/660/650/651/661
0000-958-1212,5.34,"Arruela 12,05x19x1",TS760/800
0000-958-1231,8.46,"Arruela 12x30x2,4",MS038
0000-958-1233,7.42,"Arruela 12x22x1,5",FS75
0000-958-1234,5.34,Arruela,MS260
0000-958-1504,5.17,"Arruela 10,5x15,9x0,5",MS08
0000-958-1705,5.34,"Arruela 17x24x0,24",MS051/076
0000-958-1900,6.38,"Arruela 19,9x30x0,5",TS760
0000-958-3001,5.55,Arruela,SPA65
0000-958-6501,8.48,Arruela,BT45
0000-958-6502,5.6,Arruela,BT45
0000-958-6503,6.38,Arruela,BT45
0000-958-6504,7.8,Arruela,BT45
0000-958-6505,5.34,Arruela,BT45
0000-958-6506,7.42,Arruela,BT45
0000-961-0505,12.95,Anel,FS160/220/280/FR220
0000-961-0601,6.09,Anel,FS130/BT130/HT133
0000-961-0608,4.04,Anel,BT120/121/HS81R/FR350/FS120/250/300/350/KA120
0000-961-1206,6.22,Anel,TS350/760/420/800
0000-961-1409,5.9,Anel,E160/HTImpl/75
0000-961-5116,12.03,Anel,MS08
0000-963-0501,2.59,Bucha,MS051/076
0000-963-0808,3.31,Bucha,MS046/460/066/660/650
0000-963-0809,3.87,Bucha,MS034/BR600/800
0000-963-0900,7.15,Bucha,SR430/450
0000-963-0902,1.57,Bucha,MS362/462
0000-963-0906,4.39,Bucha,TSA 230
0000-963-1204,11.43,Bucha,MS08/051
0000-963-1302,4.35,Bucha,HTImpl
